,Area Code,Year Code,Gender Code,Fatalities,Percentage:Hypertension,Percentage:Diabetes,Inhabitants,Fatalities_per_100000,Age_std_mortality,MeanAge,PrematureFatalities,PrematureFatalitiesPercent,PrematureFatalityASR,PotentialLifeLost,PLLper1000,PAFpercent
94,3,4,2,1078,4,4,200341,538,712,69,737,68,392,16077,83,61
100,3,0,2,159052,5,5,23815995,668,552,81,53881,34,214,900274,40,51
101,3,1,2,158504,5,5,24190907,655,536,81,53524,34,207,883157,39,51
102,3,2,2,160909,5,5,24601860,654,529,81,54079,34,204,882752,38,51
103,3,3,2,158493,6,6,24982688,634,508,81,54189,34,199,871807,37,50
104,3,4,2,169301,5,5,25365571,667,528,81,57990,34,209,944893,40,50
105,4,0,1,20692,4,4,2382322,869,779,76,9376,45,368,161768,72,53
106,4,1,1,21385,5,5,2399754,891,787,77,9408,44,363,156433,70,54
107,4,2,1,21284,5,5,2421067,879,764,77,9299,44,352,155773,69,53
108,4,3,1,21064,6,6,2442434,862,738,77,9473,45,352,155850,68,53
109,4,4,1,22180,5,5,2462552,901,757,77,9825,44,361,163012,71,52
110,4,0,1,19658,6,6,2356242,834,714,78,8014,41,308,131074,60,52
111,4,1,1,19536,4,4,2385170,819,689,78,7850,40,294,128786,58,53
112,4,2,1,19777,5,5,2419577,817,678,78,7978,40,292,128674,57,53
113,4,3,1,19679,6,6,2450241,803,657,79,7898,40,282,124353,54,51
114,4,4,1,21287,6,6,2483241,857,695,78,8716,41,310,139948,61,50
115,4,0,1,15243,5,5,2353449,648,632,78,6308,41,258,106889,48,52
116,4,1,1,15279,6,6,2396435,638,614,79,6106,40,243,102021,45,51
117,4,2,1,15661,4,4,2443854,641,608,79,6213,40,240,104165,45,52
118,4,3,1,15739,6,6,2487962,633,591,78,6306,40,237,103866,44,51
119,4,4,1,16564,4,4,2533780,654,599,78,6767,41,250,114227,48,51
120,4,0,1,12805,5,5,2360555,542,579,79,5010,39,215,85862,38,51
121,4,1,1,12928,6,6,2410322,536,562,79,5206,40,218,89575,39,51
122,4,2,1,13317,5,5,2467045,540,560,79,5243,39,213,87547,37,52
123,4,3,1,13107,5,5,2521570,520,531,79,5175,40,204,87563,37,51
124,4,4,1,14118,6,6,2577022,548,550,79,5502,39,212,95373,39,50
125,4,0,1,12583,4,4,2372893,530,528,81,4433,35,180,72756,32,52
126,4,1,1,12384,5,5,2409134,514,503,81,4307,35,171,69195,30,49
127,4,2,1,12506,6,6,2449982,510,488,81,4402,35,170,70348,30,50
128,4,3,1,12348,5,5,2486226,497,466,81,4252,34,160,68311,29,48
129,4,4,1,13431,5,5,2521451,533,489,81,4667,35,173,76101,32,49
135,4,0,1,81330,6,6,11827652,688,653,78,33425,41,269,565266,51,52
136,4,1,1,81867,5,5,12003039,682,637,78,33156,40,261,552523,49,52
137,4,2,1,82858,5,5,12203770,679,625,78,33381,40,256,552351,48,52
138,4,3,1,82320,5,5,12391042,664,602,78,33419,41,250,546730,47,51
139,4,4,1,88346,6,6,12581355,702,626,78,35983,41,265,600028,51,51
140,4,0,0,18524,6,6,2383950,777,535,83,5500,30,212,89190,41,51
141,4,1,0,18570,4,4,2403820,772,529,83,5660,30,215,93421,42,50
142,4,2,0,18874,5,5,2424471,778,527,83,5667,30,210,92600,42,50
143,4,3,0,18382,6,6,2442549,753,504,83,5552,30,202,87497,39,49
144,4,4,0,19074,4,4,2459509,776,514,83,5881,31,211,93205,41,48
145,4,0,0,18420,4,4,2379562,774,500,84,4798,26,180,74940,34,49
146,4,1,0,18111,5,5,2414062,750,483,84,4815,27,176,75945,34,50
147,4,2,0,18437,5,5,2450373,752,479,84,4839,26,171,72610,32,50
148,4,3,0,17992,5,5,2482035,725,463,84,4883,27,170,72387,32,47
149,4,4,0,19174,5,5,2513551,763,483,84,5143,27,175,76959,34,47
150,4,0,0,14350,5,5,2386192,601,452,84,3917,27,156,65189,29,49
151,4,1,0,14424,5,5,2434261,592,440,84,3883,27,149,63568,28,48
152,4,2,0,14592,5,5,2483440,588,433,84,3912,27,146,62339,27,47
153,4,3,0,14226,5,5,2530373,562,411,84,3970,28,144,63416,27,47
154,4,4,0,15086,5,5,2578323,585,423,84,4053,27,143,64448,27,48
155,4,0,0,13039,5,5,2400417,543,428,85,3246,25,135,57052,25,47
156,4,1,0,12534,6,6,2457647,510,399,85,3108,25,125,51527,22,47
157,4,2,0,12927,6,6,2516853,514,402,85,3290,26,129,53874,23,46
158,4,3,0,12651,5,5,2574153,492,384,85,3323,26,125,53691,22,46
159,4,4,0,13564,5,5,2631632,515,401,85,3576,26,131,57400,23,47
160,4,0,0,13221,5,5,2436660,543,391,86,2875,22,112,45453,20,45
161,4,1,0,12816,5,5,2476496,518,372,86,2765,22,105,43016,19,46
162,4,2,0,13028,6,6,2521313,517,369,86,2841,22,105,45506,19,45
163,4,3,0,12724,5,5,2560500,497,353,86,2886,23,104,44823,19,44
164,4,4,0,13544,5,5,2598444,521,366,86,3109,23,110,48221,20,44
170,4,0,0,77722,5,5,11988343,648,464,84,20456,26,160,335009,30,49
171,4,1,0,76637,4,4,12187868,629,448,84,20368,27,155,330634,29,48
172,4,2,0,78051,5,5,12398090,630,445,85,20698,26,153,330401,29,48
173,4,3,0,76173,5,5,12591646,605,426,84,20770,27,150,325077,28,47
174,4,4,0,80955,4,4,12784216,633,442,84,22007,27,155,344865,29,47
175,4,0,2,39216,4,4,4766272,823,650,80,14875,38,290,250958,57,52
176,4,1,2,39955,4,4,4803574,832,649,80,15068,38,288,249854,56,52
177,4,2,2,40158,5,5,4845538,829,638,80,14966,37,281,248373,55,52
178,4,3,2,39446,5,5,4884983,808,615,80,15025,38,276,243347,54,51
179,4,4,2,41254,5,5,4922061,838,629,79,15706,38,285,256217,56,51
180,4,0,2,38078,5,5,4735804,804,601,81,12812,34,243,206015,47,51
181,4,1,2,37647,5,5,4799232,784,580,81,12665,34,235,204731,46,52
182,4,2,2,38214,6,6,4869950,785,573,81,12817,34,231,201284,45,52
183,4,3,2,37671,5,5,4932276,764,554,81,12781,34,225,196740,43,50
184,4,4,2,40461,6,6,4996792,810,584,81,13859,34,242,216907,47,49
185,4,0,2,29593,4,4,4739641,624,535,81,10225,35,206,172078,39,51
186,4,1,2,29703,4,4,4830696,615,520,81,9989,34,195,165589,37,50
187,4,2,2,30253,5,5,4927294,614,514,81,10125,34,192,166504,36,50
188,4,3,2,29965,5,5,5018335,597,494,81,10276,34,190,167282,36,49
189,4,4,2,31650,5,5,5112103,619,506,81,10820,34,195,178675,38,50
190,4,0,2,25845,5,5,4760972,543,498,82,8256,32,175,142914,32,50
191,4,1,2,25462,5,5,4867969,523,475,82,8314,33,171,141102,31,49
192,4,2,2,26244,5,5,4983898,527,475,82,8533,32,170,141421,30,50
193,4,3,2,25758,5,5,5095723,506,452,82,8498,33,163,141254,29,49
194,4,4,2,27682,6,6,5208654,532,470,82,9078,33,171,152773,31,49
195,4,0,2,25803,4,4,4809553,536,453,84,7308,28,146,118209,26,49
196,4,1,2,25200,5,5,4885630,516,432,84,7072,28,137,112211,24,48
197,4,2,2,25534,5,5,4971295,514,424,84,7243,28,137,115854,25,48
198,4,3,2,25072,5,5,5046726,497,405,84,7138,28,131,113134,24,47
199,4,4,2,26975,6,6,5119895,527,423,84,7776,29,141,124322,26,47
205,4,0,2,159052,6,6,23815995,668,552,81,53881,34,214,900274,40,51
206,4,1,2,158504,6,6,24190907,655,536,81,53524,34,207,883157,39,51
207,4,2,2,160909,5,5,24601860,654,529,81,54079,34,204,882752,38,51
208,4,3,2,158493,5,5,24982688,634,508,81,54189,34,199,871807,37,50
209,4,4,2,169301,6,6,25365571,667,528,81,57990,34,209,944893,40,50
210,5,0,1,27221,5,5,3776574,721,654,79,10964,40,272,177383,50,51
211,5,1,1,27465,5,5,3833807,716,642,79,10821,39,262,171205,48,51
212,5,2,1,27271,5,5,3901024,699,619,79,10666,39,252,170680,47,51
213,5,3,1,27786,6,6,3959679,702,614,79,11037,40,255,173661,47,50
214,5,4,1,28977,4,4,4015829,722,623,79,11360,39,260,182173,48,49
215,5,0,1,20034,4,4,2977200,673,630,79,7644,38,248,125674,45,50
216,5,1,1,19974,5,5,3051056,655,608,79,7456,37,236,125211,44,51
217,5,2,1,19856,5,5,3126024,635,583,80,7361,37,225,119022,40,52
218,5,3,1,19308,5,5,3197767,604,550,80,7227,37,215,115755,38,52
219,5,4,1,22879,4,4,3266931,700,633,79,9109,40,269,158443,52,52
220,5,0,1,15551,4,4,2374439,655,659,77,6875,44,275,122163,54,55
221,5,1,1,15855,6,6,2403173,660,648,77,6964,44,272,119408,52,53
222,5,2,1,16645,4,4,2442204,682,656,77,7194,43,273,122698,53,54
223,5,3,1,16568,5,5,2479164,668,632,77,7255,44,270,122512,52,52
224,5,4,1,17257,5,5,2518836,685,630,77,7408,43,268,122502,52,53
225,5,0,1,7682,5,5,1276698,602,649,77,3416,44,268,63271,52,55
226,5,1,1,7863,6,6,1281968,613,646,77,3413,43,263,63372,52,56
227,5,2,1,7749,5,5,1289027,601,616,77,3390,44,256,61364,50,55
228,5,3,1,7724,4,4,1296675,596,590,77,3446,45,253,61415,50,54
229,5,4,1,8018,4,4,1309235,612,592,78,3483,43,252,60691,49,53
230,5,0,1,6821,6,6,841522,811,662,79,2607,38,276,41962,54,50
231,5,1,1,6793,5,5,846877,802,642,80,2620,39,272,41178,52,52
232,5,2,1,7090,6,6,851836,832,658,79,2770,39,283,43513,55,52
233,5,3,1,6980,6,6,857882,814,631,80,2664,38,266,41230,52,46
234,5,4,1,7090,6,6,865528,819,627,79,2722,38,271,42850,53,46
235,5,0,1,2361,6,6,255359,925,752,78,982,42,315,14799,62,53
236,5,1,1,2366,5,5,256213,924,738,77,1039,44,331,15523,65,53
237,5,2,1,2402,6,6,258548,929,722,77,1017,42,312,14829,62,50
238,5,3,1,2228,5,5,261430,852,656,78,906,41,278,13519,56,54
239,5,4,1,2417,4,4,264440,914,688,78,1001,41,304,15468,63,53
240,5,0,1,953,6,6,196237,486,571,77,414,43,222,7653,41,52
241,5,1,1,929,5,5,199780,465,540,78,383,41,202,6790,36,48
242,5,2,1,1190,5,5,204055,583,667,78,488,41,252,8696,45,50
243,5,3,1,1075,4,4,207964,517,584,78,425,40,211,8162,41,51
244,5,4,1,989,5,5,210971,469,517,79,396,40,194,6812,34,52
245,5,0,1,703,5,5,127914,550,965,63,519,74,468,12196,97,65
246,5,1,1,609,5,5,127676,477,816,64,453,74,415,9657,77,58
247,5,2,1,641,6,6,128555,499,800,62,488,76,432,11368,90,63
248,5,3,1,639,6,6,127988,499,802,64,454,71,394,10446,83,58
249,5,4,1,700,5,5,127070,551,871,66,494,71,431,10987,88,63
250,5,0,1,81330,5,5,11827652,688,653,78,33425,41,269,565266,51,52
251,5,1,1,81867,6,6,12003039,682,637,78,33156,40,261,552523,49,52
252,5,2,1,82858,5,5,12203770,679,625,78,33381,40,256,552351,48,52
253,5,3,1,82320,5,5,12391042,664,602,78,33419,41,250,546730,47,51
254,5,4,1,88346,5,5,12581355,702,626,78,35983,41,265,600028,51,51
255,5,0,0,26379,6,6,3839594,687,465,85,6611,25,160,104572,30,49
256,5,1,0,26229,5,5,3899051,673,453,85,6605,25,155,102749,29,48
257,5,2,0,25507,5,5,3966912,643,431,85,6329,25,145,95309,26,47
258,5,3,0,25847,5,5,4020489,643,432,85,6670,26,149,101953,28,46
259,5,4,0,27081,4,4,4073988,665,443,85,7082,26,155,107575,29,46
260,5,0,0,19870,5,5,3045122,652,455,85,4755,24,148,74861,27,47
261,5,1,0,19476,5,5,3122116,624,437,85,4886,25,148,77202,27,47
262,5,2,0,19935,6,6,3195582,624,435,85,4934,25,144,78518,27,48
263,5,3,0,18923,6,6,3264252,580,404,85,4841,26,137,74967,25,47
264,5,4,0,21065,4,4,3329108,633,440,85,5496,26,153,85303,28,47
265,5,0,0,14231,4,4,2403253,592,467,84,4206,30,166,72574,32,50
266,5,1,0,13835,6,6,2441979,566,441,84,4162,30,159,70295,31,48
267,5,2,0,14910,4,4,2485425,600,463,83,4429,30,164,73534,32,49
268,5,3,0,14292,6,6,2530260,565,430,83,4310,30,154,68268,29,48
269,5,4,0,15216,5,5,2575674,591,444,83,4576,30,160,73070,30,48
270,5,0,0,6766,6,6,1263974,535,440,84,2030,30,159,35758,30,50
271,5,1,0,6976,4,4,1274010,548,444,84,1958,28,150,34964,29,52
272,5,2,0,6745,4,4,1285166,525,418,84,2031,30,152,35016,29,50
273,5,3,0,6928,5,5,1297506,534,418,83,2073,30,150,34918,29,48
274,5,4,0,7024,6,6,1312274,535,408,84,1982,28,141,34297,28,50
275,5,0,0,6826,6,6,859146,794,474,85,1627,24,166,25644,33,49
276,5,1,0,6544,5,5,865966,756,446,85,1557,24,157,24826,32,48
277,5,2,0,6962,6,6,872087,798,467,85,1693,24,164,25900,33,45
278,5,3,0,6591,5,5,878645,750,438,85,1694,26,160,24610,31,43
279,5,4,0,6827,5,5,886435,770,445,85,1672,24,157,24961,31,44
280,5,0,0,2272,5,5,259758,875,549,83,635,28,196,9205,39,49
281,5,1,0,2229,5,5,261301,853,534,83,662,30,202,9828,41,47
282,5,2,0,2378,5,5,263862,901,550,84,670,28,198,9673,40,48
283,5,3,0,2059,5,5,266868,772,475,83,585,28,171,8325,34,48
284,5,4,0,2246,5,5,270017,832,501,83,650,29,184,8784,36,48
285,5,0,0,906,6,6,199576,454,409,84,268,30,137,4529,24,45
286,5,1,0,910,5,5,203324,448,401,84,251,28,126,4420,23,49
287,5,2,0,1130,5,5,207970,543,479,85,293,26,142,4891,25,46
288,5,3,0,1052,4,4,212415,495,437,84,298,28,141,5489,27,52
289,5,4,0,1044,5,5,215733,484,418,85,263,25,120,4102,20,44
290,5,0,0,468,6,6,116778,401,676,63,322,69,324,7837,68,58
291,5,1,0,435,5,5,118002,369,642,68,284,65,298,6316,55,55
292,5,2,0,465,5,5,118962,391,623,65,314,68,303,7500,64,58
293,5,3,0,471,6,6,119070,396,643,67,298,63,290,6485,56,60
294,5,4,0,442,6,6,118859,372,579,66,282,64,269,6657,57,60
295,5,0,0,77722,5,5,11988343,648,464,84,20456,26,160,335009,30,49
296,5,1,0,76637,6,6,12187868,629,448,84,20368,27,155,330634,29,48
297,5,2,0,78051,6,6,12398090,630,445,85,20698,26,153,330401,29,48
298,5,3,0,76173,5,5,12591646,605,426,84,20770,27,150,325077,28,47
299,5,4,0,80955,4,4,12784216,633,442,84,22007,27,155,344865,29,47
300,5,0,2,53600,5,5,7616168,704,553,82,17575,33,215,281955,40,50
301,5,1,2,53694,5,5,7732858,694,541,82,17426,32,208,273954,38,50
302,5,2,2,52778,5,5,7867936,671,519,82,16995,32,198,265989,36,49
303,5,3,2,53633,5,5,7980168,672,517,82,17707,33,202,275614,37,48
304,5,4,2,56058,6,6,8089817,693,527,82,18442,33,206,289748,39,48
305,5,0,2,39904,6,6,6022322,663,536,82,12399,31,197,200535,36,49
306,5,1,2,39450,5,5,6173172,639,516,82,12342,31,191,202413,35,50
307,5,2,2,39791,5,5,6321606,629,504,82,12295,31,184,197540,34,51
308,5,3,2,38231,5,5,6462019,592,471,82,12068,32,175,190722,32,50
309,5,4,2,43944,6,6,6596039,666,531,82,14605,33,210,243746,40,50
310,5,0,2,29782,4,4,4777692,623,557,80,11081,37,220,194737,43,53
311,5,1,2,29690,5,5,4845152,613,538,80,11126,38,215,189703,42,51
312,5,2,2,31555,6,6,4927629,640,553,80,11623,37,218,196232,42,52
313,5,3,2,30860,6,6,5009424,616,525,80,11565,38,211,190780,41,51
314,5,4,2,32473,4,4,5094510,637,532,80,11984,37,213,195572,41,51
315,5,0,2,14448,5,5,2540672,569,537,80,5446,38,214,99029,41,53
316,5,1,2,14839,5,5,2555978,581,538,81,5371,36,207,98336,41,54
317,5,2,2,14494,5,5,2574193,563,511,80,5421,37,204,96380,40,53
318,5,3,2,14652,5,5,2594181,565,499,80,5519,38,202,96333,40,52
319,5,4,2,15042,5,5,2621509,574,495,81,5465,36,196,94988,39,52
320,5,0,2,13647,5,5,1700668,802,561,82,4234,31,220,67606,43,50
321,5,1,2,13337,6,6,1712843,779,536,83,4177,31,213,66004,42,51
322,5,2,2,14052,4,4,1723923,815,556,82,4463,32,222,69413,44,49
323,5,3,2,13571,6,6,1736527,782,527,82,4358,32,212,65840,41,45
324,5,4,2,13917,5,5,1751963,794,530,82,4394,32,213,67811,42,45
325,5,0,2,4633,6,6,515117,899,644,81,1617,35,255,24004,50,51
326,5,1,2,4595,4,4,517514,888,630,80,1701,37,266,25351,53,51
327,5,2,2,4780,6,6,522410,915,632,81,1687,35,254,24502,51,49
328,5,3,2,4287,5,5,528298,812,559,80,1491,35,224,21844,45,51
329,5,4,2,4663,5,5,534457,872,590,80,1651,35,243,24252,50,51
330,5,0,2,1859,5,5,395813,470,483,81,682,37,178,12182,32,49
331,5,1,2,1839,6,6,403104,456,466,81,634,34,163,11210,29,49
332,5,2,2,2320,4,4,412025,563,567,81,781,34,195,13587,35,48
333,5,3,2,2127,5,5,420379,506,505,81,723,34,175,13651,34,51
334,5,4,2,2033,4,4,426704,476,466,82,659,32,156,10914,27,49
335,5,0,2,1171,4,4,244692,479,823,63,841,72,401,20033,83,62
336,5,1,2,1044,6,6,245678,425,730,65,737,71,360,15973,66,57
337,5,2,2,1106,6,6,247517,447,713,62,802,72,371,18868,78,61
338,5,3,2,1110,5,5,247058,449,726,65,752,68,345,16931,70,59
339,5,4,2,1142,5,5,245929,464,726,66,776,68,354,17644,74,62
340,5,0,2,159052,5,5,23815995,668,552,81,53881,34,214,900274,40,51
341,5,1,2,158504,6,6,24190907,655,536,81,53524,34,207,883157,39,51
342,5,2,2,160909,4,4,24601860,654,529,81,54079,34,204,882752,38,51
343,5,3,2,158493,6,6,24982688,634,508,81,54189,34,199,871807,37,50
344,5,4,2,169301,5,5,25365571,667,528,81,57990,34,209,944893,40,50
345,0,0,1,14446,6,6,2447268,590,604,79,5762,40,240,97000,42,50
346,0,1,1,14373,5,5,2495492,576,583,79,5613,39,228,90675,38,50
347,0,2,1,14428,6,6,2551011,566,569,79,5532,38,219,92469,38,49
348,0,3,1,14729,4,4,2597481,567,563,79,5824,40,226,95996,39,49
349,0,4,1,15159,4,4,2641883,574,561,79,5898,39,225,98322,39,49
350,0,0,1,12676,6,6,1329306,954,722,78,5124,40,320,78838,64,51
351,0,1,1,13014,5,5,1338315,972,727,79,5147,40,316,79297,64,51
352,0,2,1,12761,6,6,1350013,945,692,79,5069,40,305,76781,62,52
353,0,3,1,12946,4,4,1362198,950,685,79,5126,40,300,75938,61,51
354,0,4,1,13710,5,5,1373946,998,711,79,5375,39,315,81707,65,50
355,0,0,1,13342,4,4,2264653,589,598,79,5003,38,228,84806,40,50
356,0,1,1,13284,5,5,2328328,570,574,80,4943,37,219,86451,39,51
357,0,2,1,13292,5,5,2393751,555,554,80,4821,36,206,79750,35,52
358,0,3,1,12757,5,5,2455846,520,514,80,4715,37,196,79259,34,51
359,0,4,1,15114,5,5,2514705,601,589,79,5859,39,240,105298,44,51
360,0,0,1,6638,6,6,712547,932,709,79,2596,39,301,39957,61,51
361,0,1,1,6622,5,5,722728,916,689,79,2462,37,280,37829,57,52
362,0,2,1,6497,4,4,732273,887,656,79,2488,38,276,38060,56,53
363,0,3,1,6491,4,4,741921,875,636,79,2460,38,264,35558,52,52
364,0,4,1,7311,6,6,752226,972,710,78,3000,41,328,47843,69,52
365,0,0,1,6562,5,5,1150894,570,646,77,2886,44,257,52861,48,54
366,0,1,1,6712,5,5,1170527,573,634,77,2952,44,256,51822,46,53
367,0,2,1,6958,6,6,1194550,582,633,77,3045,44,256,52708,46,53
368,0,3,1,6832,6,6,1216997,561,600,77,2996,44,245,52331,45,51
369,0,4,1,7267,4,4,1242044,585,612,77,3125,43,249,54253,46,52
370,0,0,1,8903,4,4,1223545,728,666,77,3920,44,287,67312,58,55
371,0,1,1,9056,5,5,1232646,735,656,77,3944,44,282,65842,57,53
372,0,2,1,9625,4,4,1247654,771,673,77,4104,43,287,68915,59,55
373,0,3,1,9655,6,6,1262167,765,653,77,4195,43,287,68746,58,53
374,0,4,1,9905,5,5,1276792,776,642,77,4213,42,279,66727,56,53
375,0,0,1,4913,4,4,646436,760,645,80,1812,37,261,29533,49,49
376,0,1,1,4867,6,6,651439,747,623,80,1790,37,254,29184,48,51
377,0,2,1,5096,6,6,656041,777,639,80,1931,38,268,30733,50,51
378,0,3,1,5051,5,5,661509,764,619,80,1870,37,255,29317,48,45
379,0,4,1,5141,5,5,668545,769,616,80,1892,37,255,30443,49,46
380,0,0,1,1897,5,5,195086,972,712,78,788,42,321,12336,69,52
381,0,1,1,1908,4,4,195438,976,694,78,814,43,317,11698,65,53
382,0,2,1,1977,5,5,195795,1010,709,78,826,42,326,12534,70,54
383,0,3,1,1907,5,5,196373,971,659,78,773,40,294,11452,64,49
384,0,4,1,1925,6,6,196983,977,656,78,807,42,312,11772,66,48
385,0,0,1,5835,5,5,998038,585,632,78,2464,42,252,44159,46,54
386,0,1,1,5848,6,6,1007612,580,612,78,2399,41,240,43216,45,54
