,Areas,Area Code,Regions,Year Code,year,Gender Code,Gender,Fatalities,Percentage:Hypertension,Percentage:Diabetes,Inhabitants,Fatalities_per_100000,Age_std_mortality,MeanAge,PrematureFatalities,PrematureFatalitiesPercent,PrematureFatalityASR,PotentialLifeLost,PLLper1000,PotentialAvoidableFatalities,PAFpercent
19,Remoteness area,3,Remote Australia,4,2019,1,Males,1050.0,4.531,4.530939343825247,150219.0,699.2,709.6,74.0,578.0,55.0,349.1,10979.0,77.0,314,54.5
20,Remoteness area,3,Very Remote Australia,0,2015,1,Males,626.0,5.341,5.341051627839517,110369.0,567.3,813.5,68.0,458.0,73.2,459.0,11119.0,103.2,282,61.5
21,Remoteness area,3,Very Remote Australia,1,2016,1,Males,627.0,4.14,4.14017608671683,108153.0,580.1,910.1,68.0,440.0,70.1,445.0,9898.0,93.6,289,65.8
22,Remoteness area,3,Very Remote Australia,2,2017,1,Males,608.0,5.497,5.497098501284271,107501.0,565.8,820.6,68.0,436.0,71.8,438.9,9348.0,89.2,271,62.0
23,Remoteness area,3,Very Remote Australia,3,2018,1,Males,645.0,4.133,4.1326881383273975,107346.0,600.7,836.1,68.0,457.0,70.9,454.7,9431.0,90.3,279,61.0
24,Remoteness area,3,Very Remote Australia,4,2019,1,Males,639.0,5.677,5.676607760264448,107285.0,595.9,775.9,69.0,454.0,71.0,439.4,9861.0,94.6,282,62.1
30,Remoteness area,3,Australia (total),0,2015,1,Males,81330.0,5.518,5.5180050026998675,11827652.0,687.6,652.8,78.0,33425.0,41.1,269.1,565266.0,50.7,"17,451",52.2
31,Remoteness area,3,Australia (total),1,2016,1,Males,81867.0,4.819,4.819418780639208,12003039.0,682.1,637.4,78.0,33156.0,40.5,260.6,552523.0,48.8,"17,312",52.2
32,Remoteness area,3,Australia (total),2,2017,1,Males,82858.0,5.307,5.306604291729081,12203770.0,679.0,624.8,78.0,33381.0,40.3,255.6,552351.0,48.1,"17,768",52.4
33,Remoteness area,3,Australia (total),3,2018,1,Males,82320.0,5.795,5.794678895252655,12391042.0,664.4,602.2,78.0,33419.0,40.6,249.8,546730.0,46.9,"17,389",51.2
34,Remoteness area,3,Australia (total),4,2019,1,Males,88346.0,5.465,5.465257137530751,12581355.0,702.2,626.1,78.0,35983.0,40.7,265.1,600028.0,50.8,"17,854",51.1
35,Remoteness area,3,Major Cities of Australia,0,2015,0,Females,51755.0,5.277,5.277458719537504,8579926.0,603.2,444.2,85.0,12813.0,24.8,147.1,209512.0,26.3,"6,078",47.4
36,Remoteness area,3,Major Cities of Australia,1,2016,0,Females,50785.0,5.744,5.7435354804221905,8749831.0,580.4,425.9,85.0,12683.0,25.0,141.5,206446.0,25.4,"6,081",47.9
37,Remoteness area,3,Major Cities of Australia,2,2017,0,Females,51960.0,5.188,5.187802191321394,8932545.0,581.7,425.5,85.0,13095.0,25.2,141.8,211196.0,25.4,"6,241",47.1
38,Remoteness area,3,Major Cities of Australia,3,2018,0,Females,50526.0,4.023,4.022805706412701,9097297.0,555.4,405.4,85.0,13084.0,25.9,137.5,207409.0,24.5,"6,102",46.2
39,Remoteness area,3,Major Cities of Australia,4,2019,0,Females,53745.0,4.511,4.51140847875558,9260089.0,580.4,420.8,85.0,13977.0,26.0,143.6,223234.0,26.0,"6,280",45.8
40,Remoteness area,3,Inner Regional Australia,0,2015,0,Females,17491.0,5.348,5.348150907929268,2166779.0,807.2,497.8,84.0,4671.0,26.7,177.0,71437.0,36.1,"2,330",49.9
41,Remoteness area,3,Inner Regional Australia,1,2016,0,Females,17503.0,5.431,5.430758137218725,2193178.0,798.0,488.5,84.0,4744.0,27.1,176.4,73040.0,36.6,"2,282",48.1
42,Remoteness area,3,Inner Regional Australia,2,2017,0,Females,17557.0,5.253,5.253004058970248,2217585.0,791.7,476.3,84.0,4676.0,26.6,167.0,68173.0,33.8,"2,296",48.5
43,Remoteness area,3,Inner Regional Australia,3,2018,0,Females,17249.0,5.323,5.323302521171259,2244338.0,768.6,462.7,84.0,4789.0,27.8,169.1,70183.0,34.4,"2,310",47.9
44,Remoteness area,3,Inner Regional Australia,4,2019,0,Females,18138.0,4.115,4.1148091655807875,2271905.0,798.4,471.3,84.0,4883.0,26.9,166.7,68620.0,33.3,"2,273",47.5
45,Remoteness area,3,Outer Regional Australia,0,2015,0,Females,7085.0,5.783,5.7827898374173134,1006399.0,704.0,501.5,82.0,2226.0,31.4,190.9,36292.0,39.0,"1,138",51.1
46,Remoteness area,3,Outer Regional Australia,1,2016,0,Females,7010.0,5.035,5.034972956153971,1010331.0,693.9,489.1,82.0,2231.0,31.8,187.5,35268.0,37.8,"1,090",48.9
47,Remoteness area,3,Outer Regional Australia,2,2017,0,Females,7150.0,4.207,4.207079427488844,1014302.0,704.9,485.9,82.0,2180.0,30.5,178.4,34867.0,37.3,"1,097",50.1
48,Remoteness area,3,Outer Regional Australia,3,2018,0,Females,7043.0,5.266,5.266445451461359,1016801.0,692.6,467.5,83.0,2165.0,30.7,172.9,32386.0,34.7,"1,025",47.1
49,Remoteness area,3,Outer Regional Australia,4,2019,0,Females,7413.0,5.396,5.396155043156732,1018944.0,727.6,485.9,82.0,2330.0,31.4,187.5,36535.0,39.1,"1,135",49.1
50,Remoteness area,3,Remote Australia,0,2015,0,Females,768.0,5.41,5.409603750169515,142070.0,540.6,551.5,80.0,324.0,42.1,226.3,6712.0,49.6,187,57.9
51,Remoteness area,3,Remote Australia,1,2016,0,Females,711.0,5.123,5.123339396720234,141242.0,503.1,513.8,80.0,292.0,41.1,203.3,5654.0,42.1,159,54.4
52,Remoteness area,3,Remote Australia,2,2017,0,Females,728.0,4.732,4.73171268296105,140683.0,517.2,504.8,79.0,313.0,43.1,214.9,5785.0,43.4,164,52.3
53,Remoteness area,3,Remote Australia,3,2018,0,Females,715.0,5.199,5.198758728660055,140233.0,510.2,488.1,80.0,310.0,43.3,209.4,5825.0,43.9,171,55.3
54,Remoteness area,3,Remote Australia,4,2019,0,Females,710.0,5.787,5.787477958240965,140222.0,506.7,470.7,80.0,291.0,41.0,194.7,5634.0,42.6,164,56.3
55,Remoteness area,3,Very Remote Australia,0,2015,0,Females,457.0,4.122,4.122418536689466,93169.0,490.9,697.9,71.0,304.0,66.5,376.5,7877.0,86.9,191,62.8
56,Remoteness area,3,Very Remote Australia,1,2016,0,Females,454.0,4.982,4.982133152361116,93287.0,486.9,736.3,70.0,283.0,62.2,344.0,7099.0,78.1,174,61.7
57,Remoteness area,3,Very Remote Australia,2,2017,0,Females,472.0,4.745,4.744621523806902,92974.0,508.2,747.0,69.0,292.0,61.7,350.9,7040.0,77.8,181,62.0
58,Remoteness area,3,Very Remote Australia,3,2018,0,Females,444.0,5.54,5.539813567195809,92977.0,477.5,682.6,70.0,269.0,60.6,319.1,6029.0,66.7,161,59.7
59,Remoteness area,3,Very Remote Australia,4,2019,0,Females,439.0,5.793,5.792883703778532,93055.0,471.7,634.5,70.0,283.0,64.4,333.1,6216.0,68.8,166,58.8
65,Remoteness area,3,Australia (total),0,2015,0,Females,77722.0,4.715,4.7154509894109236,11988343.0,648.3,464.3,84.0,20456.0,26.3,160.3,335009.0,30.2,"10,007",48.9
66,Remoteness area,3,Australia (total),1,2016,0,Females,76637.0,4.214,4.214337016463295,12187868.0,628.8,447.8,84.0,20368.0,26.6,155.4,330634.0,29.3,"9,883",48.5
67,Remoteness area,3,Australia (total),2,2017,0,Females,78051.0,5.914,5.9141740326982895,12398090.0,629.5,445.1,85.0,20698.0,26.5,153.3,330401.0,28.8,"10,079",48.2
68,Remoteness area,3,Australia (total),3,2018,0,Females,76173.0,5.661,5.660801745227755,12591646.0,604.9,425.9,84.0,20770.0,27.3,149.7,325077.0,27.9,"9,909",47.2
69,Remoteness area,3,Australia (total),4,2019,0,Females,80955.0,4.847,4.846603431606666,12784216.0,633.2,441.5,84.0,22007.0,27.2,155.3,344865.0,29.2,"10,125",47.0
70,Remoteness area,3,Major Cities of Australia,0,2015,2,Persons,103699.0,5.362,5.362436373157253,16981916.0,610.6,525.3,82.0,33305.0,32.1,195.4,559697.0,35.1,"16,599",49.8
71,Remoteness area,3,Major Cities of Australia,1,2016,2,Persons,102614.0,5.574,5.573957534037229,17311652.0,592.7,505.2,82.0,32829.0,32.0,187.6,547630.0,33.7,"16,395",49.9
72,Remoteness area,3,Major Cities of Australia,2,2017,2,Persons,104929.0,5.43,5.429752656020921,17669985.0,593.8,502.6,82.0,33545.0,32.0,186.2,554381.0,33.5,"16,909",49.7
73,Remoteness area,3,Major Cities of Australia,3,2018,2,Persons,102784.0,5.1,5.100458241567576,17996627.0,571.1,479.7,82.0,33465.0,32.6,180.7,548281.0,32.5,"16,365",48.3
74,Remoteness area,3,Major Cities of Australia,4,2019,2,Persons,109710.0,4.902,4.902143941914742,18322470.0,598.8,498.1,82.0,35891.0,32.7,190.0,596786.0,34.8,"16,945",48.4
75,Remoteness area,3,Inner Regional Australia,0,2015,2,Persons,36185.0,5.377,5.3765062214134165,4296482.0,842.2,592.4,81.0,12285.0,34.0,236.7,191212.0,48.3,"6,217",50.6
76,Remoteness area,3,Inner Regional Australia,1,2016,2,Persons,36588.0,4.668,4.667635058740194,4343502.0,842.4,584.7,81.0,12409.0,33.9,234.5,192084.0,48.1,"6,279",50.6
77,Remoteness area,3,Inner Regional Australia,2,2017,2,Persons,36455.0,5.805,5.80537549713546,4391350.0,830.2,565.0,81.0,12243.0,33.6,224.3,184516.0,45.8,"6,359",51.2
78,Remoteness area,3,Inner Regional Australia,3,2018,2,Persons,36291.0,5.187,5.187106112581251,4442945.0,816.8,550.8,81.0,12466.0,34.3,224.0,185805.0,45.7,"6,392",50.7
79,Remoteness area,3,Inner Regional Australia,4,2019,2,Persons,38641.0,5.48,5.480441913489597,4497187.0,859.2,570.7,81.0,13195.0,34.1,232.8,196449.0,47.8,"6,365",49.4
80,Remoteness area,3,Outer Regional Australia,0,2015,2,Persons,15763.0,5.64,5.639538740848802,2036167.0,774.2,611.7,79.0,6212.0,39.4,261.1,101985.0,53.8,"3,353",54.0
81,Remoteness area,3,Outer Regional Australia,1,2016,2,Persons,15983.0,4.805,4.804997405993473,2040903.0,783.1,610.8,79.0,6300.0,39.4,258.6,100812.0,53.1,"3,300",52.4
82,Remoteness area,3,Outer Regional Australia,2,2017,2,Persons,16154.0,4.174,4.173774308099491,2048020.0,788.8,600.9,79.0,6248.0,38.7,252.6,101157.0,53.3,"3,334",53.1
83,Remoteness area,3,Outer Regional Australia,3,2018,2,Persons,16004.0,4.284,4.284038926287227,2051802.0,780.0,580.5,79.0,6180.0,38.6,243.8,95770.0,50.5,"3,187",51.3
84,Remoteness area,3,Outer Regional Australia,4,2019,2,Persons,16841.0,5.674,5.6744995989421705,2055132.0,819.5,597.9,79.0,6553.0,38.9,258.4,103138.0,54.4,"3,386",52.2
85,Remoteness area,3,Remote Australia,0,2015,2,Persons,1815.0,5.555,5.555486756119863,297893.0,609.2,658.4,76.0,917.0,50.5,298.0,18396.0,64.6,542,59.1
86,Remoteness area,3,Remote Australia,1,2016,2,Persons,1721.0,5.963,5.963235492630562,293410.0,586.7,633.7,76.0,857.0,49.8,279.6,16189.0,57.8,468,54.6
87,Remoteness area,3,Remote Australia,2,2017,2,Persons,1802.0,5.247,5.247243851063581,292029.0,617.1,634.9,75.0,931.0,51.6,298.3,17176.0,61.8,506,54.3
88,Remoteness area,3,Remote Australia,3,2018,2,Persons,1758.0,5.622,5.622353019847274,290991.0,604.2,610.4,76.0,893.0,50.8,287.5,16665.0,60.3,492,55.1
89,Remoteness area,3,Remote Australia,4,2019,2,Persons,1761.0,5.684,5.683605625768098,290441.0,606.3,591.6,76.0,869.0,49.4,276.1,16614.0,60.4,478,55.1
90,Remoteness area,3,Very Remote Australia,0,2015,2,Persons,1083.0,4.224,4.223607749498154,203538.0,532.3,759.6,69.0,762.0,70.4,423.2,18997.0,95.7,473,62.0
91,Remoteness area,3,Very Remote Australia,1,2016,2,Persons,1082.0,5.01,5.010326858037705,201441.0,536.9,824.5,69.0,722.0,66.8,400.0,16997.0,86.4,464,64.2
92,Remoteness area,3,Very Remote Australia,2,2017,2,Persons,1081.0,4.342,4.342372604546634,200475.0,539.1,790.6,68.0,728.0,67.4,399.9,16388.0,83.9,452,62.0
93,Remoteness area,3,Very Remote Australia,3,2018,2,Persons,1089.0,4.848,4.848252670310776,200323.0,543.5,769.5,69.0,726.0,66.7,393.9,15461.0,79.3,440,60.6
94,Remoteness area,3,Very Remote Australia,4,2019,2,Persons,1078.0,5.379,5.379091013007898,200341.0,538.2,712.1,69.0,737.0,68.3,391.5,16077.0,82.7,448,60.9
100,Remoteness area,3,Australia (total),0,2015,2,Persons,159052.0,4.959,4.9594271331816895,23815995.0,667.8,552.1,81.0,53881.0,33.9,214.0,900274.0,40.4,"27,458",51.0
101,Remoteness area,3,Australia (total),1,2016,2,Persons,158504.0,4.088,4.0877869231587685,24190907.0,655.2,536.0,81.0,53524.0,33.8,207.3,883157.0,39.1,"27,195",50.8
102,Remoteness area,3,Australia (total),2,2017,2,Persons,160909.0,4.974,4.973913845660077,24601860.0,654.1,529.0,81.0,54079.0,33.6,203.7,882752.0,38.4,"27,847",50.8
103,Remoteness area,3,Australia (total),3,2018,2,Persons,158493.0,4.826,4.826247410875831,24982688.0,634.4,508.2,81.0,54189.0,34.2,199.0,871807.0,37.4,"27,298",49.6
104,Remoteness area,3,Australia (total),4,2019,2,Persons,169301.0,5.44,5.439667625010839,25365571.0,667.4,528.2,81.0,57990.0,34.3,209.2,944893.0,40.0,"27,979",49.6
105,Socioeconomic group,4,Quintile 1 (lowest),0,2015,1,Males,20692.0,4.722,4.722088563052647,2382322.0,868.6,778.9,76.0,9376.0,45.3,368.2,161768.0,72.4,"4,964",52.9
106,Socioeconomic group,4,Quintile 1 (lowest),1,2016,1,Males,21385.0,4.167,4.16676976526829,2399754.0,891.1,787.0,77.0,9408.0,44.0,362.8,156433.0,69.6,"5,055",53.7
107,Socioeconomic group,4,Quintile 1 (lowest),2,2017,1,Males,21284.0,5.455,5.455293283874232,2421067.0,879.1,764.0,77.0,9299.0,43.7,351.9,155773.0,68.8,"4,954",52.7
108,Socioeconomic group,4,Quintile 1 (lowest),3,2018,1,Males,21064.0,4.522,4.5222586828020335,2442434.0,862.4,737.8,77.0,9473.0,45.0,352.3,155850.0,68.3,"5,043",52.8
109,Socioeconomic group,4,Quintile 1 (lowest),4,2019,1,Males,22180.0,5.606,5.605678607176162,2462552.0,900.7,756.9,77.0,9825.0,44.3,361.0,163012.0,71.0,"5,057",52.5
110,Socioeconomic group,4,Quintile 2,0,2015,1,Males,19658.0,4.444,4.443934724979175,2356242.0,834.3,714.2,78.0,8014.0,40.8,307.7,131074.0,59.5,"4,143",51.7
111,Socioeconomic group,4,Quintile 2,1,2016,1,Males,19536.0,5.609,5.60908281436143,2385170.0,819.1,689.1,78.0,7850.0,40.2,294.5,128786.0,57.8,"4,147",52.8
112,Socioeconomic group,4,Quintile 2,2,2017,1,Males,19777.0,5.74,5.7401336445322935,2419577.0,817.4,677.5,78.0,7978.0,40.3,291.9,128674.0,57.0,"4,316",53.4
113,Socioeconomic group,4,Quintile 2,3,2018,1,Males,19679.0,4.471,4.471001668404972,2450241.0,803.1,657.1,79.0,7898.0,40.1,282.2,124353.0,54.5,"4,075",51.0
114,Socioeconomic group,4,Quintile 2,4,2019,1,Males,21287.0,4.144,4.144101461149647,2483241.0,857.2,695.4,78.0,8716.0,40.9,309.7,139948.0,60.6,"4,301",50.5
115,Socioeconomic group,4,Quintile 3,0,2015,1,Males,15243.0,5.803,5.802841202632932,2353449.0,647.7,631.6,78.0,6308.0,41.4,257.7,106889.0,48.0,"3,288",52.1
116,Socioeconomic group,4,Quintile 3,1,2016,1,Males,15279.0,5.518,5.51840529841915,2396435.0,637.6,613.6,79.0,6106.0,40.0,243.0,102021.0,45.1,"3,130",51.3
117,Socioeconomic group,4,Quintile 3,2,2017,1,Males,15661.0,4.016,4.015665799509495,2443854.0,640.8,607.5,79.0,6213.0,39.7,240.1,104165.0,45.2,"3,255",51.5
118,Socioeconomic group,4,Quintile 3,3,2018,1,Males,15739.0,4.562,4.5619074140170515,2487962.0,632.6,590.8,78.0,6306.0,40.1,237.1,103866.0,44.3,"3,242",50.8
119,Socioeconomic group,4,Quintile 3,4,2019,1,Males,16564.0,5.302,5.301571487822287,2533780.0,653.7,599.3,78.0,6767.0,40.9,249.6,114227.0,48.0,"3,331",50.6
120,Socioeconomic group,4,Quintile 4,0,2015,1,Males,12805.0,4.195,4.195290881356148,2360555.0,542.5,579.3,79.0,5010.0,39.1,215.4,85862.0,38.2,"2,562",51.1
121,Socioeconomic group,4,Quintile 4,1,2016,1,Males,12928.0,5.764,5.7643980819105005,2410322.0,536.4,562.3,79.0,5206.0,40.3,217.5,89575.0,39.1,"2,656",51.0
122,Socioeconomic group,4,Quintile 4,2,2017,1,Males,13317.0,4.979,4.978930361377114,2467045.0,539.8,560.0,79.0,5243.0,39.4,212.9,87547.0,37.4,"2,796",52.5
123,Socioeconomic group,4,Quintile 4,3,2018,1,Males,13107.0,4.53,4.529836836104097,2521570.0,519.8,530.6,79.0,5175.0,39.5,203.6,87563.0,36.6,"2,667",50.7
124,Socioeconomic group,4,Quintile 4,4,2019,1,Males,14118.0,4.637,4.637391654166612,2577022.0,547.8,549.7,79.0,5502.0,39.0,211.8,95373.0,39.1,"2,690",50.4
125,Socioeconomic group,4,Quintile 5 (highest),0,2015,1,Males,12583.0,5.25,5.250226421772185,2372893.0,530.3,527.5,81.0,4433.0,35.2,180.2,72756.0,32.3,"2,301",51.9
126,Socioeconomic group,4,Quintile 5 (highest),1,2016,1,Males,12384.0,4.149,4.149493528980228,2409134.0,514.0,502.6,81.0,4307.0,34.8,170.8,69195.0,30.3,"2,128",49.4
127,Socioeconomic group,4,Quintile 5 (highest),2,2017,1,Males,12506.0,5.007,5.006953962044807,2449982.0,510.5,487.6,81.0,4402.0,35.2,169.9,70348.0,30.4,"2,257",50.4
128,Socioeconomic group,4,Quintile 5 (highest),3,2018,1,Males,12348.0,5.779,5.779017880410586,2486226.0,496.7,465.9,81.0,4252.0,34.4,160.2,68311.0,29.1,"2,072",48.0
129,Socioeconomic group,4,Quintile 5 (highest),4,2019,1,Males,13431.0,5.38,5.380123714792586,2521451.0,532.7,488.8,81.0,4667.0,34.7,173.3,76101.0,32.1,"2,223",49.1
135,Socioeconomic group,4,Australia (total),0,2015,1,Males,81330.0,4.157,4.157486141347631,11827652.0,687.6,652.8,78.0,33425.0,41.1,269.1,565266.0,50.7,"17,451",52.2
136,Socioeconomic group,4,Australia (total),1,2016,1,Males,81867.0,5.364,5.36420884703694,12003039.0,682.1,637.4,78.0,33156.0,40.5,260.6,552523.0,48.8,"17,312",52.2
137,Socioeconomic group,4,Australia (total),2,2017,1,Males,82858.0,5.346,5.345672363031478,12203770.0,679.0,624.8,78.0,33381.0,40.3,255.6,552351.0,48.1,"17,768",52.4
138,Socioeconomic group,4,Australia (total),3,2018,1,Males,82320.0,4.174,4.1736130344847675,12391042.0,664.4,602.2,78.0,33419.0,40.6,249.8,546730.0,46.9,"17,389",51.2
139,Socioeconomic group,4,Australia (total),4,2019,1,Males,88346.0,5.888,5.888461875734781,12581355.0,702.2,626.1,78.0,35983.0,40.7,265.1,600028.0,50.8,"17,854",51.1
140,Socioeconomic group,4,Quintile 1 (lowest),0,2015,0,Females,18524.0,4.192,4.192282434146982,2383950.0,777.0,535.0,83.0,5500.0,29.7,211.9,89190.0,40.7,"2,798",50.9
141,Socioeconomic group,4,Quintile 1 (lowest),1,2016,0,Females,18570.0,5.337,5.337153231863697,2403820.0,772.5,528.9,83.0,5660.0,30.5,214.8,93421.0,42.3,"2,831",50.0
142,Socioeconomic group,4,Quintile 1 (lowest),2,2017,0,Females,18874.0,5.586,5.5864730801826665,2424471.0,778.5,526.7,83.0,5667.0,30.0,210.2,92600.0,41.6,"2,843",49.8
143,Socioeconomic group,4,Quintile 1 (lowest),3,2018,0,Females,18382.0,4.297,4.296744631730357,2442549.0,752.6,503.5,83.0,5552.0,30.2,201.8,87497.0,39.1,"2,737",49.0
144,Socioeconomic group,4,Quintile 1 (lowest),4,2019,0,Females,19074.0,5.524,5.524452554258186,2459509.0,775.5,514.2,83.0,5881.0,30.8,210.9,93205.0,41.4,"2,792",48.0
145,Socioeconomic group,4,Quintile 2,0,2015,0,Females,18420.0,5.725,5.724765525701087,2379562.0,774.1,499.5,84.0,4798.0,26.0,179.7,74940.0,34.4,"2,364",49.3
146,Socioeconomic group,4,Quintile 2,1,2016,0,Females,18111.0,4.374,4.374098081911803,2414062.0,750.2,482.9,84.0,4815.0,26.6,176.2,75945.0,34.4,"2,390",49.6
147,Socioeconomic group,4,Quintile 2,2,2017,0,Females,18437.0,5.374,5.374404435815864,2450373.0,752.4,478.8,84.0,4839.0,26.2,171.2,72610.0,32.4,"2,449",49.9
148,Socioeconomic group,4,Quintile 2,3,2018,0,Females,17992.0,4.695,4.695199028282316,2482035.0,724.9,463.3,84.0,4883.0,27.1,169.6,72387.0,31.9,"2,313",47.0
149,Socioeconomic group,4,Quintile 2,4,2019,0,Females,19174.0,4.013,4.012552805424435,2513551.0,762.8,482.8,84.0,5143.0,26.8,175.3,76959.0,33.5,"2,363",46.9
150,Socioeconomic group,4,Quintile 3,0,2015,0,Females,14350.0,5.655,5.655386009680201,2386192.0,601.4,451.5,84.0,3917.0,27.3,155.7,65189.0,29.4,"1,924",49.1
151,Socioeconomic group,4,Quintile 3,1,2016,0,Females,14424.0,4.519,4.519425843615792,2434261.0,592.5,439.9,84.0,3883.0,26.9,149.2,63568.0,28.1,"1,858",47.8
152,Socioeconomic group,4,Quintile 3,2,2017,0,Females,14592.0,4.955,4.955316597843378,2483440.0,587.6,432.9,84.0,3912.0,26.8,145.9,62339.0,27.0,"1,851",46.8
153,Socioeconomic group,4,Quintile 3,3,2018,0,Females,14226.0,5.932,5.93239910150999,2530373.0,562.2,411.2,84.0,3970.0,27.9,143.7,63416.0,27.0,"1,891",47.2
154,Socioeconomic group,4,Quintile 3,4,2019,0,Females,15086.0,5.577,5.576726266534948,2578323.0,585.1,422.6,84.0,4053.0,26.9,142.6,64448.0,27.0,"1,885",47.5
155,Socioeconomic group,4,Quintile 4,0,2015,0,Females,13039.0,4.441,4.441448368631177,2400417.0,543.2,428.0,85.0,3246.0,24.9,135.4,57052.0,25.4,"1,540",47.4
156,Socioeconomic group,4,Quintile 4,1,2016,0,Females,12534.0,5.844,5.843871899603253,2457647.0,510.0,399.1,85.0,3108.0,24.8,125.3,51527.0,22.4,"1,448",46.6
157,Socioeconomic group,4,Quintile 4,2,2017,0,Females,12927.0,4.95,4.950265033755594,2516853.0,513.6,402.2,85.0,3290.0,25.5,128.6,53874.0,22.9,"1,530",46.0
158,Socioeconomic group,4,Quintile 4,3,2018,0,Females,12651.0,5.892,5.8924925553276655,2574153.0,491.5,384.4,85.0,3323.0,26.3,125.0,53691.0,22.3,"1,527",45.6
159,Socioeconomic group,4,Quintile 4,4,2019,0,Females,13564.0,4.88,4.880258157751984,2631632.0,515.4,400.6,85.0,3576.0,26.4,131.2,57400.0,23.4,"1,660",47.2
160,Socioeconomic group,4,Quintile 5 (highest),0,2015,0,Females,13221.0,5.158,5.157641323774362,2436660.0,542.6,390.6,86.0,2875.0,21.7,112.4,45453.0,20.0,"1,299",45.2
161,Socioeconomic group,4,Quintile 5 (highest),1,2016,0,Females,12816.0,5.839,5.838690587795737,2476496.0,517.5,372.4,86.0,2765.0,21.6,105.2,43016.0,18.6,"1,259",45.5
162,Socioeconomic group,4,Quintile 5 (highest),2,2017,0,Females,13028.0,4.533,4.533318307493019,2521313.0,516.7,369.0,86.0,2841.0,21.8,105.1,45506.0,19.4,"1,304",45.2
